,fecha,centro,almacen,tipo_stock,material,cantidad_teorica,cantidad_contada,stock_diferencia,impacto_valor,diferencia_absoluta,diferencia_porcentual,impacto_economico_abs
304,2026-01-08,R241,MP01,Almacén,2007031,24.75,8.25,-16.5,131701.0,16.5,66.66666666666666,131701.0
306,2026-01-08,R241,MP01,Almacén,2007034,254.189,290.0,35.811,533584.0,35.811,14.088335844588082,533584.0
308,2026-01-08,R241,MP01,Almacén,2007036,9062.83,9000.0,-62.83,503.0,62.83,0.6932713070861971,503.0
324,2026-01-08,R241,MP01,Almacén,2007502,1919.958,1919.0,-0.958,34094.0,0.958,0.04989692482856396,34094.0
334,2026-01-08,R241,MP01,Almacén,2007590,403.86,423.0,19.14,354365.0,19.14,4.7392660823057495,354365.0
336,2026-01-08,R241,MP01,Almacén,2007592,528.775,563.0,34.225,622205.0,34.225,6.47250721006099,622205.0
340,2026-01-08,R241,MP01,Almacén,2007940,12705.818,12820.0,114.182,79730.0,114.182,0.898659181171964,79730.0
342,2026-01-08,R241,MP01,Almacén,2007941,14193.799,13296.0,-897.799,626892.0,897.799,6.325290360952694,626892.0
344,2026-01-08,R241,MP01,Almacén,2007942,5991.599,5300.0,-691.599,482739.0,691.599,11.542811860406546,482739.0
346,2026-01-08,R241,MP01,Almacén,2007943,5962.884,7150.0,1187.116,823051.0,1187.116,19.908420153737687,823051.0
362,2026-01-08,R241,MP01,Almacén,2008161,5415.669,5100.0,-315.669,222966.0,315.669,5.828808961552118,222966.0
364,2026-01-08,R241,MP01,Almacén,2008162,12759.133,13000.0,240.867,204016.0,240.867,1.8878006836357923,204016.0
366,2026-01-08,R241,MP01,Almacén,2008163,10332.0,9680.0,-652.0,552362.0,652.0,6.310491676345335,552362.0
368,2026-01-08,R241,MP01,Almacén,2008208,2536.474,2993.0,456.526,386679.0,456.526,17.99844981655637,386679.0
378,2026-01-08,R241,MP01,Almacén,2008650,11078.854,11078.0,-0.854,723.0,0.854,0.0077083785019641925,723.0
380,2026-01-08,R241,MP01,Almacén,2008964,1248.716,1732.0,483.284,349415.0,483.284,38.70247518250747,349415.0
384,2026-01-08,R241,MP01,Almacén,2008967,5605.999,5140.0,-465.999,336917.0,465.999,8.312505942295031,336917.0
386,2026-01-08,R241,MP01,Almacén,2008968,10624.514,10020.0,-604.514,437063.0,604.514,5.689803787730903,437063.0
514,2026-01-08,R241,MP01,Almacén,1004427,180.722,206.33,25.608,1338332.0,25.608,14.169829904494193,1338332.0
518,2026-01-08,R241,MP01,Almacén,1004723,6200.0,6250.0,50.0,194744.0,50.0,0.8064516129032258,194744.0
522,2026-01-08,R241,MP01,Almacén,1004893,36.0,35.6,-0.4,18860.0,0.4,1.1111111111111112,18860.0
530,2026-01-08,R241,MP01,Almacén,1005253,2510.0,2560.0,50.0,167731.0,50.0,1.9920318725099602,167731.0
536,2026-01-08,R241,MP01,Almacén,1006958,91.27,90.0,-1.27,57045.0,1.27,1.3914758409115813,57045.0
538,2026-01-08,R241,MP01,Almacén,1007037,34.97,48.22,13.25,706216.0,13.25,37.88961967400629,706216.0
540,2026-01-08,R241,MP01,Almacén,1007043,26.85,26.8,-0.05,3126.0,0.05,0.186219739292365,3126.0
546,2026-01-08,R241,MP01,Almacén,1007046,528.0,526.0,-2.0,30660.0,2.0,0.3787878787878788,30660.0
560,2026-01-08,R241,MP01,Almacén,1007060,469.14,50.0,-419.14,4644109.0,419.14,89.34220062241548,4644109.0
564,2026-01-08,R241,MP01,Almacén,1007070,1130.0,1150.0,20.0,105869.0,20.0,1.7699115044247788,105869.0
566,2026-01-08,R241,MP01,Almacén,1007080,7110.0,6970.0,-140.0,109242.0,140.0,1.969057665260197,109242.0
568,2026-01-08,R241,MP01,Almacén,1007083,8256.0,8156.0,-100.0,178402.0,100.0,1.2112403100775195,178402.0
572,2026-01-08,R241,MP01,Almacén,1007085,2430.0,2432.0,2.0,1563.0,2.0,0.0823045267489712,1563.0
582,2026-01-08,R241,MP01,Almacén,1007100,51.8,51.0,-0.8,45956.0,0.8,1.5444015444015446,45956.0
586,2026-01-08,R241,MP01,Almacén,1007104,63.0,64.0,1.0,16096.0,1.0,1.5873015873015872,16096.0
588,2026-01-08,R241,MP01,Almacén,1007105,414.0,421.0,7.0,157838.0,7.0,1.6908212560386473,157838.0
590,2026-01-08,R241,MP01,Almacén,1007108,2451.0,2471.0,20.0,23772.0,20.0,0.8159934720522236,23772.0
596,2026-01-08,R241,MP01,Almacén,1007127,10285.0,10351.0,66.0,124007.0,66.0,0.6417112299465241,124007.0
602,2026-01-08,R241,MP01,Almacén,1007135,86.0,88.0,2.0,68327.0,2.0,2.3255813953488373,68327.0
604,2026-01-08,R241,MP01,Almacén,1007136,95.0,94.0,-1.0,9942.0,1.0,1.0526315789473684,9942.0
614,2026-01-08,R241,MP01,Almacén,1007342,371.6,363.6,-8.0,288698.0,8.0,2.1528525296017222,288698.0
618,2026-01-08,R241,MP01,Almacén,1007644,21692.0,21702.0,10.0,7781.0,10.0,0.04609994468006638,7781.0
620,2026-01-08,R241,MP01,Almacén,1007682,824.671,839.4,14.729,624651.0,14.729,1.7860455866642575,624651.0
622,2026-01-08,R241,MP01,Almacén,1007691,101.908,54.16,-47.748,1908064.0,47.748,46.85402519919927,1908064.0
628,2026-01-08,R241,MP01,Almacén,1007753,156.261,176.08,19.819,664639.0,19.819,12.683267097996302,664639.0
638,2026-01-08,R241,MP01,Almacén,1008187,735.225,723.32,-11.905,497995.0,11.905,1.6192322078275356,497995.0
640,2026-01-08,R241,MP01,Almacén,1008193,1342.346,1295.3,-47.046,1538160.0,47.046,3.5047595776349763,1538160.0
642,2026-01-08,R241,MP01,Almacén,1008194,732.477,756.65,24.173,585678.0,24.173,3.3001718825301,585678.0
646,2026-01-08,R241,MP01,Almacén,1008198,35065.0,35640.0,575.0,1985353.0,575.0,1.6398117781263366,1985353.0
1138,2026-01-08,R241,FB01,Almacén,BASEC410001,699.785,704.003,4.218,21457.0,4.218,0.6027565609437184,21457.0
1140,2026-01-08,R241,FB01,Almacén,BASEC410003,3911.288,3802.693,-108.595,741812.0,108.595,2.776451133232838,741812.0
1142,2026-01-08,R241,FB01,Almacén,BASEC410016,131.662,135.235,3.573,21045.0,3.573,2.713767070225274,21045.0
1144,2026-01-08,R241,FB01,Almacén,BASEN410001,28426.371,28354.563,-71.808,281846.0,71.808,0.2526105073348969,281846.0
1146,2026-01-08,R241,FB01,Almacén,BASEN410003,7002.795,6822.917,-179.878,859817.0,179.878,2.568660085008914,859817.0
1148,2026-01-08,R241,FB01,Almacén,BASEN410005,5493.666,5484.786,-8.88,23639.0,8.88,0.1616406967587764,23639.0
1150,2026-01-08,R241,FB01,Almacén,BASEN410008,2652.167,2605.963,-46.204,183384.0,46.204,1.7421225737293315,183384.0
1152,2026-01-08,R241,FB01,Almacén,BASEN410014,16011.607,16064.039,52.432,168464.0,52.432,0.3274624464614951,168464.0
